abbrev	abstractReaction	code	creationDate	definition	deltaG	deltaGErr	enzyme	equation	id	modificationDate	name	owner	public	reversibility	scope	status	structuralCues	thermoReversibility	transportedAtoms
(R)-2-phospho-3-sulfolactate phosphohydrolase		cpd00001 + cpd08366 <=> cpd00009 + cpd08367	1281967906	H2O + (2R)-Phosphosulfolactate <=> Phosphate + H+ + (2R)-3-Sulfolactate	-2.317	0.735634	|3.1.3.71	cpd00001 + cpd08366 <=> cpd00009 + cpd00067 + cpd08367	rxn04036	1281967906	(R)-2-phospho-3-sulfolactate phosphohydrolase	master	1	=>		OK	|H2O:-1|prim_phos:-1|orthophosphate:1|H:1|PrimOH:1	=>	
6-O-(beta-D-xylosyl)-beta-D-glucohydrolase		cpd00001 + cpd08364 <=> cpd00057 + cpd08365	1281967906	H2O + beta-Primeveroside <=> Alcohol + beta-Primeverose	-3.113	0.692797	|3.2.1.149	cpd00001 + cpd08364 <=> cpd00057 + cpd08365	rxn04035	1281967906	6-O-(beta-D-xylopyranosyl)-beta-D-glucopyranoside	master	1	<=>		OK	|H2O:-1|WOW:-1|PrimOH:2|Origin:1	=>	
limonene-1,2-epoxide hydrolase		cpd00001 + cpd04490 <=> cpd04495	1281967906	H2O + Limonene oxide <=> Limonene-1,2-diol	9.187	3.68395	|3.3.2.8	cpd00001 + cpd04490 <=> cpd04495	rxn04034	1281967906	limonene-1,2-epoxide hydrolase	master	1	<=		OK	|H2O:-1|TWWCWW:-1|TWWCHW:-1|RWOW:-1|RWCHWW:1|threemember:-1|RWWCWW:1|PrimOH:2	<=	
mandelamide hydrolase		cpd00001 + cpd04509 <=> cpd00013 + cpd01357	1281967906	H2O + (R)-Mandelamide <=> NH3 + (R)-Mandelate	-4.723	0.88056	|3.5.1.86	cpd00001 + cpd04509 <=> cpd00013 + cpd01357	rxn04033	1281967906	mandelamide hydrolase	master	1	=>		OK	|H2O:-1|WketoneW:-1|amide:-1|WNH2:-1|NH4plus:1|WCOOn:1	=>	
cyclic-imide amidohydrolase (decyclicizing)		cpd00001 + cpd04491 <=> cpd01123	1281967906	H2O + Maleimide <=> H+ + Maleamate	0.397	1.26729	|3.5.2.16	cpd00001 + cpd04491 <=> cpd00067 + cpd01123	rxn04032	1281967906	cyclic-imide amidohydrolase (decyclicizing)	master	1	<=>		OK	|H2O:-1|RWWCdblO:-2|RWCHdblW:-2|RWNHW:-1|H:1|WketoneW:1|WCHdblW:2|WCOOn:1|WNH2:1	<=>	
thiocyanate aminohydrolase		cpd00001 + cpd01211 <=> cpd00013 + cpd04536	1281967906	H2O + 2 H+ + Thiocyanate <=> NH3 + Carbonyl sulfide	10000000	10000000	|3.5.5.8	cpd00001 + (2) cpd00067 + cpd01211 <=> cpd00013 + cpd04536	rxn04031	1281967906	thiocyanate aminohydrolase	master	1	<=>		OK		<=>	
PMI12346PH		cpd00001 + cpd08361 <=> cpd00009 + cpd00885	1281967906	H2O + 5-PP-InsP5 <=> Phosphate + H+ + Phytate	-6.817	0.717554	|3.6.1.52	cpd00001 + cpd08361 <=> cpd00009 + cpd00067 + cpd00885	rxn04030	1281967906	5-Diphosphoinositol pentakisphosphate diphosphohydrolase	master	1	=>		OK	|H2O:-1|mid_phos:-1|orthophosphate:1|H:1	=>	
4-hydroxyphenylpyruvate:oxygen oxidoreductase (decarboxylating)		cpd00007 + cpd00868 <=> cpd00011 + cpd08362	1281967906	O2 + 4-Hydroxyphenylpyruvate <=> CO2 + 4-Hydroxymandelate	-108.28	0.782868	|1.13.11.46	cpd00007 + cpd00868 <=> cpd00011 + cpd08362	rxn04029	1281967906	4-hydroxyphenylpyruvate:oxygen oxidoreductase (decarboxylating)	master	1	=>		OK	|O2:-1|WketoneW:-1|WCH2W:-1|PrimOH:1|OCCO:-1|CO2:1|WWCHW:1	=>	
UDP-6-sulfo-6-deoxyglucose sulfohydrolase		cpd00026 + cpd00081 <=> cpd00001 + cpd08358	1281967906	UDPglucose + HSO3- <=> H2O + UDP-6-sulfoquinovose	-12.7895	1.02935	|3.13.1.1	cpd00026 + cpd00081 <=> cpd00001 + cpd08358	rxn04027	1281967906	UDP-6-sulfo-6-deoxyglucose sulfohydrolase	master	1	<=>		OK	|PrimOH:-1|sulfite:-1|H2O:1|WSO3:1	=>	
S-adenosyl-L-methionine:24-methylenelophenol C-methyltransferase		cpd00017 + cpd08359 <=> cpd00019 + cpd08360	1281967906	SAM + 24-Methylene lophenol <=> S-Adenosylhomocysteine + H+ + 24-Ethylidene lophenol	-16.73	2.21495	|2.1.1.143	cpd00017 + cpd08359 <=> cpd00019 + cpd00067 + cpd08360	rxn04028	1281967906	S-adenosyl-L-methionine:24-methylenelophenol C-methyltransferase	master	1	<=>		OK	|WSWW:-1|WdblCH2:-1|WSW:1|H:1|WCHdblW:1	=>	
SPDC		cpd03285 <=> cpd00011 + cpd00460	1281967906	H+ + 3-Sulfopyruvate <=> CO2 + Sulfoacetaldehyde	-4.09	0.595908	|4.1.1.79	cpd00067 + cpd03285 <=> cpd00011 + cpd00460	rxn04026	1281967906	sulfopyruvate carboxy-lyase	master	1	=>		OK	|H:-1|WketoneW:-1|WCOOn:-1|OCCO:-1|CO2:1|WCHdblO:1	=>	
4.1.2.41-RXN		cpd04511 <=> cpd00022 + cpd00561	1281967906	4-Hydroxy-3-methoxyphenyl-beta-hydroxypropionyl-CoA <=> Acetyl-CoA + Vanillin	-0.8	0.378643	|4.1.2.41	cpd04511 <=> cpd00022 + cpd00561	rxn04025	1281967906	3-hydroxy-3-(4-hydroxy-3-methoxyphenyl)propionyl-CoA:vanillin lyase	master	1	<=>		OK	|PrimOH:-1|WCH2W:-1|WWCHW:-1|WCH3:1|Origin:1|WCHdblO:1|OCCC:1	<=>	
4.2.1.101-RXN		cpd00001 + cpd00321 <=> cpd04511	1281967906	H2O + Feruloyl-CoA <=> 4-Hydroxy-3-methoxyphenyl-beta-hydroxypropionyl-CoA	2.657	0.874306	|4.2.1.101	cpd00001 + cpd00321 <=> cpd04511	rxn04024	1281967906	trans-feruloyl-CoA hydro-lyase	master	1	<=>		OK	|H2O:-1|PrimOH:1|WCH2W:1|WWCHW:1|WCHdblW:-2|OCCC:-1|CCCC:-1	<=>	
UDP-glucose:hydroquinone-O-b-D-glucosyltransferase		cpd00026 + cpd00415 <=> cpd00014 + cpd03696	1281967906	UDPglucose + Quinol <=> UDP + Ursin	-1.7	0.632032	|2.4.1.218	cpd00026 + cpd00415 <=> cpd00014 + cpd03696	rxn04022	1281967906	UDP-glucose:hydroquinone-O-b-D-glucosyltransferase	master	1	<=>		OK	|PrimOH:-1|WPO4nW:-1|prim_phos:1|WOW:1	<=>	
N-cyclohexylformamide hydro-lyase		cpd08356 <=> cpd00001 + cpd08357	1281967906	H+ + N-Cyclohexylformamide <=> H2O + Cyclohexyl isocyanide	10000000	10000000	|4.2.1.103	cpd00067 + cpd08356 <=> cpd00001 + cpd08357	rxn04023	1281967906	N-cyclohexylformamide hydro-lyase	master	1	<=>		OK		<=>	
GDP-mannose:3-phosphoglycerate 3-a-D-mannosyltransferase		cpd00083 + cpd00169 <=> cpd00031 + cpd08355	1281967906	GDP-mannose + 3-Phosphoglycerate <=> GDP + 2-(alpha-D-Mannosyl)-3-phosphoglycerate	-1.7	0.632032	|2.4.1.217	cpd00083 + cpd00169 <=> cpd00031 + cpd08355	rxn04021	1281967906	GDP-mannose:3-phosphoglycerate 3-a-D-mannosyltransferase	master	1	<=>		OK	|PrimOH:-1|WPO4nW:-1|prim_phos:1|WOW:1	<=>	
rll_425		cpd00009 + cpd00523 <=> cpd00079 + cpd00501	1281967906	Phosphate + H+ + Trehalose 6-phosphate <=> Robison ester + beta-D-Glucose 1-phosphate	-0.796	0.676477	|2.4.1.216	cpd00009 + cpd00067 + cpd00523 <=> cpd00079 + cpd00501	rxn04020	1281967906	trehalose 6-phosphate:phosphate b-D-glucosyltransferase	master	1	<=>		OK	|orthophosphate:-1|H:-1|WOW:-1|PrimOH:1|prim_phos:1|Origin:1	<=>	
geranyldiphosphate diphosphate lyase (pinene forming)		cpd00283 <=> cpd00012 + cpd03748	1281967906	Geranyldiphosphate <=> PPi + beta-Pinene	10000000	10000000	|4.2.3.14	cpd00283 <=> cpd00012 + cpd03748	rxn04019	1281967906	geranyldiphosphate diphosphate lyase (pinene forming)	master	1	<=>		OK	|mid_phos:-1|WCH2W:-3|prim_phos:-1|WCHdblW:-2|WdblCWW:-2|WCH3:-1|pyrophos:1|T3WWCHW:2|TWWCWW:1|TRWCH2RW:3|TRWCRWdblW:1|WdblCH2:1|Hydrocarbon:1	<=>	
geranyldiphosphate diphosphate lyase (pinene forming)		cpd00283 <=> cpd00012 + cpd03749	1281967906	Geranyldiphosphate <=> PPi + alpha-Pinene	10000000	10000000	|4.2.3.14	cpd00283 <=> cpd00012 + cpd03749	rxn04018	1281967906	geranyldiphosphate diphosphate lyase (pinene forming)	master	1	<=>		OK	|mid_phos:-1|WCH2W:-3|prim_phos:-1|WCHdblW:-2|WdblCWW:-2|pyrophos:1|T3WWCHW:2|TWWCWW:1|TRWCH2RW:2|TRWCRWdblW:1|TRWCHdblRW:1|Hydrocarbon:1	<=>	
3'-O-methyltransferase		cpd00017 + cpd01563 <=> cpd00019 + cpd08354	1281967906	SAM + trans-Aconitate <=> S-Adenosylhomocysteine + (E)-2-(Methoxycarbonylmethyl)butenedioate	-5.33	2.22272	|2.1.1.145	cpd00017 + cpd01563 <=> cpd00019 + cpd08354	rxn04017	1281967906	S-adenosyl-L-methionine:(E)-prop-1-ene-1,2,3-tricarboxylate	master	1	<=>		OK	|WSWW:-1|WCOOn:-1|WSW:1|WOCOW:1	<=>	
ACONMT		cpd00017 + cpd01563 <=> cpd00019 + cpd08353	1281967906	SAM + trans-Aconitate <=> S-Adenosylhomocysteine + (E)-3-(Methoxycarbonyl)pent-2-enedioate	-5.33	2.22272	|2.1.1.144	cpd00017 + cpd01563 <=> cpd00019 + cpd08353	rxn04016	1281967906	S-adenosyl-L-methionine:(E)-prop-1-ene-1,2,3-tricarboxylate	master	1	<=>		OK	|WSWW:-1|WCOOn:-1|WSW:1|WOCOW:1	<=>	
(epoxyalkane-ring-forming)		cpd08337 <=> cpd02246 + cpd08346	1281967906	(S)-2-Hydroxypropyl-CoM <=> CoM + (S)-1,2-Epoxypropane	11.106	2.08661	|4.4.1.23	cpd08337 <=> cpd02246 + cpd08346	rxn04015	1281967906	(S)-2-hydroxypropyl-CoM:2-mercaptoethanesulfonate lyase	master	1	<=>		OK	|WCH2W:-1|WSW:-1|WWCHW:-1|PrimOH:-1|Origin:1|WSH:1|RWCH2W:1|RWCHWW:1|RWOW:1|threemember:1	<=>	
S-adenosyl-L-methionine:cycloartenol 24-C-methyltransferase		cpd00017 + cpd01306 <=> cpd00019 + cpd08352	1281967906	SAM + Cycloartenol <=> S-Adenosylhomocysteine + H+ + (24R)-24-Methylcycloarta-25-en-3-beta-ol	-19.86	2.2229	|2.1.1.142	cpd00017 + cpd01306 <=> cpd00019 + cpd00067 + cpd08352	rxn04013	1281967906	S-adenosyl-L-methionine:cycloartenol 24-C-methyltransferase	master	1	=>		OK	|WSWW:-1|WCH3:-1|WWCHW:1|WCHdblW:-1|WSW:1|H:1|WdblCH2:1	=>	
(epoxyalkane-ring-forming)		cpd08335 <=> cpd02246 + cpd08345	1281967906	(R)-2-Hydroxypropyl-CoM <=> CoM + (R)-1,2-Epoxypropane	11.106	2.08661	|4.4.1.23	cpd08335 <=> cpd02246 + cpd08345	rxn04014	1281967906	(R)-2-hydroxypropyl-CoM:2-mercaptoethanesulfonate lyase	master	1	<=>		OK	|WCH2W:-1|WSW:-1|WWCHW:-1|PrimOH:-1|Origin:1|WSH:1|RWCH2W:1|RWCHWW:1|RWOW:1|threemember:1	<=>	
S-adenosyl-L-methionine:jasmonate O-methyltransferase		cpd00017 + cpd05399 <=> cpd00019 + cpd08351	1281967906	SAM + Jasmonate <=> S-Adenosylhomocysteine + Methyl jasmonate	-5.33	2.22272	|2.1.1.141	cpd00017 + cpd05399 <=> cpd00019 + cpd08351	rxn04012	1281967906	S-adenosyl-L-methionine:jasmonate O-methyltransferase	master	1	<=>		OK	|WSWW:-1|WCOOn:-1|WSW:1|WOCOW:1	<=>	
threo-3-hydroxy-L-aspartate ammonia-lyase		cpd08350 <=> cpd00013 + cpd00032	1281967906	L-threo-3-Hydroxyaspartate <=> NH3 + Oxaloacetate	-5.7	0.686677	|4.3.1.16	cpd08350 <=> cpd00013 + cpd00032	rxn04011	1281967906	threo-3-hydroxy-L-aspartate ammonia-lyase	master	1	=>		OK	|WWCHW:-2|PrimOH:-1|WNH3:-1|NH4plus:1|WketoneW:1|WCH2W:1|OCCO:1	=>	
S-adenosyl-L-methionine:3'-demethylstaurosporine O-methyltransferase		cpd00017 + cpd04552 <=> cpd00019 + cpd01410	1281967906	SAM + 3'-Demethylstaurosporine <=> S-Adenosylhomocysteine + H+ + Staurosporine	-4.36	2.22091	|2.1.1.139	cpd00017 + cpd04552 <=> cpd00019 + cpd00067 + cpd01410	rxn04010	1281967906	S-adenosyl-L-methionine:3'-demethylstaurosporine O-methyltransferase	master	1	<=>		OK	|PrimOH:-1|WSWW:-1|WSW:1|H:1|WOW:1	<=>	
S-adenosyl-L-methionine:arsenite As-methyltransferase		cpd00017 + cpd04098 <=> cpd00019 + cpd04505	1281967906	SAM + Arsenite <=> S-Adenosylhomocysteine + 2 H+ + Methylarsonate	10000000	10000000	|2.1.1.137	cpd00017 + cpd04098 <=> cpd00019 + (2) cpd00067 + cpd04505	rxn04009	1281967906	S-adenosyl-L-methionine:arsenite As-methyltransferase	master	1	<=>		OK		<=>	
S-adenosyl-L-methionine:trichlorophenol O-methyltransferase		cpd00017 + cpd04373 <=> cpd00019 + cpd08349	1281967906	SAM + 2,4,6-Trichlorophenol <=> S-Adenosylhomocysteine + 2,4.6-Trichloroanisole	-3.53	2.40602	|2.1.1.136	cpd00017 + cpd04373 <=> cpd00019 + cpd08349	rxn04008	1281967906	S-adenosyl-L-methionine:trichlorophenol O-methyltransferase	master	1	<=>		OK	|WSWW:-1|WOneg:-1|WSW:1|WOW:1	<=>	
deacetylisoipecoside dopamine-lyase		cpd01275 + cpd02357 <=> cpd00001 + cpd04512	1281967906	Secologanin + Dopamine <=> H2O + H+ + Deacetylisoipecoside	-13.767	1.58486	|4.3.3.3	cpd01275 + cpd02357 <=> cpd00001 + cpd00067 + cpd04512	rxn04007	1281967906	deacetylisoipecoside dopamine-lyase	master	1	=>		OK	|RWCHWW:1|WCH2W:-2|WCHdblO:-1|Origin:-1|BWWCdblW:-1|BWCHdblW:-1|WNH3:-1|H2O:1|H:1|BTWWCdblW:2|RWNHW:1|RWCH2W:2	=>	
deacetylipecoside dopamine-lyase		cpd01275 + cpd02357 <=> cpd00001 + cpd04514	1281967906	Secologanin + Dopamine <=> H2O + H+ + Deacetylipecoside	-13.767	1.58486	|4.3.3.4	cpd01275 + cpd02357 <=> cpd00001 + cpd00067 + cpd04514	rxn04006	1281967906	deacetylipecoside dopamine-lyase	master	1	=>		OK	|RWCHWW:1|WCH2W:-2|WCHdblO:-1|Origin:-1|BWWCdblW:-1|BWCHdblW:-1|WNH3:-1|H2O:1|H:1|BTWWCdblW:2|RWNHW:1|RWCH2W:2	=>	
gluthathione:methylarsonate oxidoreductase		(2) cpd00042 + cpd04505 <=> cpd00001 + cpd00111 + cpd04506	1281967906	2 GSH + H+ + Methylarsonate <=> H2O + GSSG + Methylarsonite	10000000	10000000	|1.20.4.2	(2) cpd00042 + cpd00067 + cpd04505 <=> cpd00001 + cpd00111 + cpd04506	rxn04005	1281967906	gluthathione:methylarsonate oxidoreductase	master	1	<=>		OK		<=>	
phosphonate:NAD+ oxidoreductase		cpd00001 + cpd00003 + cpd04099 <=> cpd00004 + cpd00009	1281967906	H2O + NAD + Phosphonate <=> NADH + Phosphate + 2 H+	10000000	10000000	|1.20.1.1	cpd00001 + cpd00003 + cpd04099 <=> cpd00004 + cpd00009 + (2) cpd00067	rxn04004	1281967906	phosphonate:NAD+ oxidoreductase	master	1	<=>		OK	|H2O:-1|WRdNWRW:-1|RWCHdblW:-1|RWWNW:1|HeteroAromatic:-1|PO3:-1|RWCH2W:1|orthophosphate:1|H:2	<=>	
oxidoreductase (hydroxylating)		cpd00005 + cpd00007 + cpd08348 <=> cpd00001 + cpd00006 + cpd02939	1281967906	TPNH + O2 + 3beta-Hydroxy-4beta-methyl-5alpha-cholest-7-ene-4alpha-carbaldehyde <=> H2O + TPN + 3beta-Hydroxy-4beta-methyl-5alpha-cholest-7-ene-4alpha-carboxylate	-118.577	1.27799	|1.14.13.72	cpd00005 + cpd00007 + cpd08348 <=> cpd00001 + cpd00006 + cpd02939	rxn04003	1281967906	4,4-dimethyl-5a-cholest-7-en-3b-ol,hydrogen-donor:oxygen	master	1	=>		OK	|RWWNW:-1|RWCHdblW:1|RWCH2W:-1|HeteroAromatic:1|O2:-1|WCHdblO:-1|H2O:1|WRdNWRW:1|WCOOn:1	=>	
oxidoreductase (hydroxylating)		cpd00005 + cpd00007 + cpd02924 <=> (2) cpd00001 + cpd00006 + cpd08348	1281967906	TPNH + O2 + H+ + 4beta-Hydroxymethyl-4alpha-methyl-5alpha-cholest-7-en-3beta-ol <=> 2 H2O + TPN + 3beta-Hydroxy-4beta-methyl-5alpha-cholest-7-ene-4alpha-carbaldehyde	-103.554	1.54743	|1.14.13.72	cpd00005 + cpd00007 + cpd00067 + cpd02924 <=> (2) cpd00001 + cpd00006 + cpd08348	rxn04002	1281967906	4,4-dimethyl-5a-cholest-7-en-3b-ol,hydrogen-donor:oxygen	master	1	=>		OK	|RWWNW:-1|RWCHdblW:1|PrimOH:-1|WCH2W:-1|RWCH2W:-1|HeteroAromatic:1|O2:-1|H:-1|H2O:2|WRdNWRW:1|WCHdblO:1	=>	
oxidoreductase (hydroxylating)		cpd00005 + cpd00007 + cpd02759 <=> cpd00001 + cpd00006 + cpd02924	1281967906	TPNH + O2 + H+ + 4,4-Dimethyl-5alpha-cholest-7-en-3beta-ol <=> H2O + TPN + 4beta-Hydroxymethyl-4alpha-methyl-5alpha-cholest-7-en-3beta-ol	-92.5767	1.27653	|1.14.13.72	cpd00005 + cpd00007 + cpd00067 + cpd02759 <=> cpd00001 + cpd00006 + cpd02924	rxn04001	1281967906	4,4-dimethyl-5a-cholest-7-en-3b-ol,hydrogen-donor:oxygen	master	1	=>		OK	|RWWNW:-1|RWCHdblW:1|PrimOH:1|WCH2W:1|RWCH2W:-1|HeteroAromatic:1|O2:-1|H:-1|WCH3:-1|H2O:1|WRdNWRW:1	=>	
acetone:carbon-dioxide ligase (AMP-forming)		(2) cpd00001 + cpd00002 + cpd00011 + cpd00178 <=> (2) cpd00009 + cpd00018 + cpd00142	1281967906	2 H2O + ATP + CO2 + Acetone <=> 2 Phosphate + AMP + 3 H+ + Acetoacetate	-5.914	1.61983	|6.4.1.6	(2) cpd00001 + cpd00002 + cpd00011 + cpd00178 <=> (2) cpd00009 + cpd00018 + (3) cpd00067 + cpd00142	rxn04000	1281967906	acetone:carbon-dioxide ligase (AMP-forming)	master	1	=>		OK	|H2O:-2|WCH2W:1|mid_phos:-2|Origin:1|CO2:-1|acetone:-1|orthophosphate:2|H:3|WketoneW:1|WCH3:1|WCOOn:1	=>	
oxidoreductase (hydroxylating)		cpd00003 + cpd00007 + cpd08348 <=> cpd00001 + cpd00004 + cpd02939	1281967906	NAD + O2 + 2 H+ + 3beta-Hydroxy-4beta-methyl-5alpha-cholest-7-ene-4alpha-carbaldehyde <=> H2O + NADH + 3beta-Hydroxy-4beta-methyl-5alpha-cholest-7-ene-4alpha-carboxylate	-88.9767	1.27799	|1.14.13.72	cpd00003 + cpd00007 + (2) cpd00067 + cpd08348 <=> cpd00001 + cpd00004 + cpd02939	rxn03999	1281967906	4,4-dimethyl-5a-cholest-7-en-3b-ol,hydrogen-donor:oxygen	master	1	=>		CI:-4	|WRdNWRW:-1|RWCHdblW:-1|RWWNW:1|HeteroAromatic:-1|O2:-1|H:-2|RWCH2W:1|WCHdblO:-1|H2O:1|WCOOn:1	=>	
oxidoreductase (hydroxylating)		cpd00004 + cpd00007 + cpd02924 <=> (2) cpd00001 + cpd00003 + cpd08348	1281967906	NADH + O2 + H+ + 4beta-Hydroxymethyl-4alpha-methyl-5alpha-cholest-7-en-3beta-ol <=> 2 H2O + NAD + 3beta-Hydroxy-4beta-methyl-5alpha-cholest-7-ene-4alpha-carbaldehyde	-103.554	1.54743	|1.14.13.72	cpd00004 + cpd00007 + cpd00067 + cpd02924 <=> (2) cpd00001 + cpd00003 + cpd08348	rxn03998	1281967906	4,4-dimethyl-5a-cholest-7-en-3b-ol,hydrogen-donor:oxygen	master	1	=>		OK	|RWWNW:-1|RWCHdblW:1|PrimOH:-1|WCH2W:-1|RWCH2W:-1|HeteroAromatic:1|O2:-1|H:-1|H2O:2|WRdNWRW:1|WCHdblO:1	=>	
N-methylcoclaurine 3'-hydroxylase		cpd00005 + cpd00007 + cpd03081 <=> cpd00001 + cpd00006 + cpd03094	1281967906	TPNH + O2 + H+ + (S)-N-Methylcoclaurine <=> H2O + TPN + (S)-3'-Hydroxy-N-methylcoclaurine	-95.8267	1.31456	|1.14.13.71	cpd00005 + cpd00007 + cpd00067 + cpd03081 <=> cpd00001 + cpd00006 + cpd03094	rxn03997	1281967906	N-methylcoclaurine 3'-hydroxylase	master	1	=>		OK	|RWWNW:-1|RWCHdblW:1|PrimOH:1|RWCH2W:-1|HeteroAromatic:1|O2:-1|H:-1|BWCHdblW:-1|BWWCdblW:1|H2O:1|WRdNWRW:1	=>	
sterol,NADPH:oxygen oxidoreductase (14-methyl cleaving)		(3) cpd00005 + (3) cpd00007 + cpd01334 <=> (4) cpd00001 + (3) cpd00006 + cpd00047 + cpd08347	1281967906	3 TPNH + 3 O2 + 2 H+ + Obtusifoliol <=> 4 H2O + 3 TPN + FORM + delta8,14 -Sterol	-294.457	5.24754	|1.14.13.70	(3) cpd00005 + (3) cpd00007 + (2) cpd00067 + cpd01334 <=> (4) cpd00001 + (3) cpd00006 + cpd00047 + cpd08347	rxn03996	1281967906	sterol,NADPH:oxygen oxidoreductase (14-methyl cleaving)	master	1	=>		OK	|RWWNW:-3|TWWCdblW:1|RWCHdblW:4|RWCH2W:-4|HeteroAromatic:3|O2:-3|H:-2|TWWCWW:-1|WCH3:-1|H2O:4|WRdNWRW:3|formate:1|CCCC:1	=>	
alkene,NADH:oxygen oxidoreductase		cpd00004 + cpd00007 + cpd08344 <=> cpd00001 + cpd00003 + cpd08346	1281967906	NADH + O2 + H+ + Propene <=> H2O + NAD + (S)-1,2-Epoxypropane	-93.8767	2.39396	|1.14.13.69	cpd00004 + cpd00007 + cpd00067 + cpd08344 <=> cpd00001 + cpd00003 + cpd08346	rxn03995	1281967906	alkene,NADH:oxygen oxidoreductase	master	1	=>		OK	|RWWNW:-1|RWCHWW:1|RWCHdblW:1|RWOW:1|HeteroAromatic:1|O2:-1|H:-1|WdblCH2:-1|WCHdblW:-1|Hydrocarbon:-1|H2O:1|WRdNWRW:1|threemember:1	=>	
alkene,NADH:oxygen oxidoreductase		cpd00004 + cpd00007 + cpd08344 <=> cpd00001 + cpd00003 + cpd08345	1281967906	NADH + O2 + H+ + Propene <=> H2O + NAD + (R)-1,2-Epoxypropane	-93.8767	2.39396	|1.14.13.69	cpd00004 + cpd00007 + cpd00067 + cpd08344 <=> cpd00001 + cpd00003 + cpd08345	rxn03994	1281967906	alkene,NADH:oxygen oxidoreductase	master	1	=>		OK	|RWWNW:-1|RWCHWW:1|RWCHdblW:1|RWOW:1|HeteroAromatic:1|O2:-1|H:-1|WdblCH2:-1|WCHdblW:-1|Hydrocarbon:-1|H2O:1|WRdNWRW:1|threemember:1	=>	
4-hydroxyphenylacetaldehyde oxime, NADPH2:oxygen oxidoreductase		cpd00005 + cpd00007 + cpd02667 <=> (2) cpd00001 + cpd00006 + cpd02346	1281967906	TPNH + O2 + H+ + (Z)-4-Hydroxyphenylacetaldehyde-oxime <=> 2 H2O + TPN + (S)-4-Hydroxymandelonitrile	-128.974	6.05288	|1.14.13.68	cpd00005 + cpd00007 + cpd00067 + cpd02667 <=> (2) cpd00001 + cpd00006 + cpd02346	rxn03993	1281967906	4-hydroxyphenylacetaldehyde oxime, NADPH2:oxygen oxidoreductase	master	1	=>		OK	|RWWNW:-1|RWCHdblW:1|WCH2W:-1|RWCH2W:-1|HeteroAromatic:1|O2:-1|H:-1|WCHdblW:-1|WNdblW:-1|H2O:2|WRdNWRW:1|WWCHW:1|WtrpCW:1|WtrpN:1	=>	
quinine, NADPH2:oxygen oxidoreductase		cpd00005 + cpd00007 + cpd03936 <=> cpd00001 + cpd00006 + cpd04547	1281967906	TPNH + O2 + H+ + Quinine <=> H2O + TPN + 3-Hydroxyquinine	10000000	10000000	|1.14.13.67	cpd00005 + cpd00007 + cpd00067 + cpd03936 <=> cpd00001 + cpd00006 + cpd04547	rxn03992	1281967906	quinine, NADPH2:oxygen oxidoreductase	master	1	<=>		OK		<=>	
NODOy		cpd00005 + (2) cpd00007 + (2) cpd00418 <=> cpd00006 + (2) cpd00209	1281967906	TPNH + 2 O2 + 2 NO <=> TPN + H+ + 2 Nitrate	10000000	2.27128	|1.14.12.17	cpd00005 + (2) cpd00007 + (2) cpd00418 <=> cpd00006 + cpd00067 + (2) cpd00209	rxn03991	1281967906	nitric oxide, NADPH2:oxygen oxidoreductase	master	1	<=>		OK	|RWWNW:-1|RWCHdblW:1|RWCH2W:-1|HeteroAromatic:1|O2:-2|NO:-2|WRdNWRW:1|H:1|nitricacid:2	<=>	
NODOx		cpd00004 + (2) cpd00007 + (2) cpd00418 <=> cpd00003 + (2) cpd00209	1281967906	NADH + 2 O2 + 2 NO <=> NAD + H+ + 2 Nitrate	10000000	2.27128	|1.14.12.17	cpd00004 + (2) cpd00007 + (2) cpd00418 <=> cpd00003 + cpd00067 + (2) cpd00209	rxn03990	1281967906	nitric oxide, NAD(P)H2:oxygen oxidoreductase	master	1	<=>		OK	|RWWNW:-1|RWCHdblW:1|RWCH2W:-1|HeteroAromatic:1|O2:-2|NO:-2|WRdNWRW:1|H:1|nitricacid:2	<=>	
leucocyanidin,2-oxoglutarate:oxygen oxidoreductase		cpd00007 + cpd00024 + cpd03503 <=> cpd00001 + cpd00011 + cpd00036 + cpd01135	1281967906	O2 + 2-Oxoglutarate + Resivit <=> H2O + CO2 + Succinate + Taxifolin	-121.917	1.01059	|1.14.11.19	cpd00007 + cpd00024 + cpd03503 <=> cpd00001 + cpd00011 + cpd00036 + cpd01135	rxn03989	1281967906	leucocyanidin,2-oxoglutarate:oxygen oxidoreductase	master	1	=>		OK	|O2:-1|WketoneW:-1|OCCO:-1|RWCHWW:-1|PrimOH:-1|H2O:1|CO2:1|RWWCdblO:1|OCCC:1	=>	
(2-hydroxylating)		cpd00007 + cpd00024 + cpd01402 <=> cpd00011 + cpd00036 + cpd04546	1281967906	O2 + 2-Oxoglutarate + Phytanoyl-CoA <=> CO2 + Succinate + 2-Hydroxyphytanoyl-CoA	-108.28	0.782868	|1.14.11.18	cpd00007 + cpd00024 + cpd01402 <=> cpd00011 + cpd00036 + cpd04546	rxn03988	1281967906	phytanoyl-CoA, 2-oxoglutarate:oxygen oxidoreductase	master	1	=>		OK	|O2:-1|WketoneW:-1|WCH2W:-1|OCCO:-1|PrimOH:1|WWCHW:1|CO2:1	=>	
